path,classification,canonical_source_or_build_owner,audience,source_sha_or_evidence,status,finding_or_action,verification_command,publication_destination
docs/FAQ.md,active canonical,repository documentation,maintainers and users,21a12da4f45c628696222a9c442abd7aa73f7286,inventoried; verification tracked in closeout,retain; repair or regenerate when identified by gates,node scripts/check-inbound-links.mjs,repository; external copy only after explicit approval
docs/INDEX.md,active canonical,repository documentation,maintainers and users,21a12da4f45c628696222a9c442abd7aa73f7286,inventoried; verification tracked in closeout,retain; repair or regenerate when identified by gates,node scripts/check-inbound-links.mjs,repository; external copy only after explicit approval
docs/IntegrationHub.postman_collection.json,active canonical,repository documentation,maintainers and users,21a12da4f45c628696222a9c442abd7aa73f7286,inventoried; verification tracked in closeout,retain; repair or regenerate when identified by gates,git diff --check; owning build/audit,repository; external copy only after explicit approval
docs/MASTER_IMPLEMENTATION_PLAN_2026.md,active canonical,repository documentation,maintainers and users,21a12da4f45c628696222a9c442abd7aa73f7286,inventoried; verification tracked in closeout,retain; repair or regenerate when identified by gates,node scripts/check-inbound-links.mjs,repository; external copy only after explicit approval
docs/MCP-USER-SETTINGS-GUIDE.md,active canonical,repository documentation,maintainers and users,21a12da4f45c628696222a9c442abd7aa73f7286,inventoried; verification tracked in closeout,retain; repair or regenerate when identified by gates,node scripts/check-inbound-links.mjs,repository; external copy only after explicit approval
docs/NAVIGATION-MAP.md,active canonical,repository documentation,maintainers and users,21a12da4f45c628696222a9c442abd7aa73f7286,inventoried; verification tracked in closeout,retain; repair or regenerate when identified by gates,node scripts/check-inbound-links.mjs,repository; external copy only after explicit approval
docs/README.md,active canonical,repository documentation,maintainers and users,21a12da4f45c628696222a9c442abd7aa73f7286,inventoried; verification tracked in closeout,retain; repair or regenerate when identified by gates,node scripts/check-inbound-links.mjs,repository; external copy only after explicit approval
docs/SESSION-HANDOFF-2026-08-02.md,active canonical,repository documentation,maintainers and users,21a12da4f45c628696222a9c442abd7aa73f7286,inventoried; verification tracked in closeout,retain; repair or regenerate when identified by gates,node scripts/check-inbound-links.mjs,repository; external copy only after explicit approval
docs/SESSION-HANDOFF-2026-08-04.md,active canonical,repository documentation,maintainers and users,21a12da4f45c628696222a9c442abd7aa73f7286,inventoried; verification tracked in closeout,retain; repair or regenerate when identified by gates,node scripts/check-inbound-links.mjs,repository; external copy only after explicit approval
docs/SESSION-HANDOFF-2026-08-07.md,active canonical,repository documentation,maintainers and users,21a12da4f45c628696222a9c442abd7aa73f7286,inventoried; verification tracked in closeout,retain; repair or regenerate when identified by gates,node scripts/check-inbound-links.mjs,repository; external copy only after explicit approval
docs/SESSION-HANDOFF-2026-08-09.md,active canonical,repository documentation,maintainers and users,21a12da4f45c628696222a9c442abd7aa73f7286,inventoried; verification tracked in closeout,retain; repair or regenerate when identified by gates,node scripts/check-inbound-links.mjs,repository; external copy only after explicit approval
docs/SESSION-HANDOFF-2026-08-12.md,active canonical,repository documentation,maintainers and users,21a12da4f45c628696222a9c442abd7aa73f7286,inventoried; verification tracked in closeout,retain; repair or regenerate when identified by gates,node scripts/check-inbound-links.mjs,repository; external copy only after explicit approval
docs/SESSION-HANDOFF-2026-08-13.md,active canonical,repository documentation,maintainers and users,21a12da4f45c628696222a9c442abd7aa73f7286,inventoried; verification tracked in closeout,retain; repair or regenerate when identified by gates,node scripts/check-inbound-links.mjs,repository; external copy only after explicit approval
docs/SESSION-HANDOFF-2026-08-14.md,active canonical,repository documentation,maintainers and users,21a12da4f45c628696222a9c442abd7aa73f7286,inventoried; verification tracked in closeout,retain; repair or regenerate when identified by gates,node scripts/check-inbound-links.mjs,repository; external copy only after explicit approval
docs/SESSION-HANDOFF-2026-08-15.md,active canonical,repository documentation,maintainers and users,21a12da4f45c628696222a9c442abd7aa73f7286,inventoried; verification tracked in closeout,retain; repair or regenerate when identified by gates,node scripts/check-inbound-links.mjs,repository; external copy only after explicit approval
docs/SESSION-HANDOFF-2026-09-01.md,active canonical,repository documentation,maintainers and users,21a12da4f45c628696222a9c442abd7aa73f7286,inventoried; verification tracked in closeout,retain; repair or regenerate when identified by gates,node scripts/check-inbound-links.mjs,repository; external copy only after explicit approval
docs/SESSION-HANDOFF-2026-09-07.md,active canonical,repository documentation,maintainers and users,21a12da4f45c628696222a9c442abd7aa73f7286,inventoried; verification tracked in closeout,retain; repair or regenerate when identified by gates,node scripts/check-inbound-links.mjs,repository; external copy only after explicit approval
docs/SESSION-HANDOFF-2026-09-12.md,active canonical,repository documentation,maintainers and users,21a12da4f45c628696222a9c442abd7aa73f7286,inventoried; verification tracked in closeout,retain; repair or regenerate when identified by gates,node scripts/check-inbound-links.mjs,repository; external copy only after explicit approval
docs/SESSION-HANDOFF-2026-09-23.md,active canonical,repository documentation,maintainers and users,21a12da4f45c628696222a9c442abd7aa73f7286,inventoried; verification tracked in closeout,retain; repair or regenerate when identified by gates,node scripts/check-inbound-links.mjs,repository; external copy only after explicit approval
docs/SQUIRE-V2-MEDIA-DEMO-PLAN.md,active canonical,repository documentation,maintainers and users,21a12da4f45c628696222a9c442abd7aa73f7286,inventoried; verification tracked in closeout,retain; repair or regenerate when identified by gates,node scripts/check-inbound-links.mjs,repository; external copy only after explicit approval
docs/SUITECENTRAL-ENHANCEMENT-RECOMMENDATIONS.md,active canonical,repository documentation,maintainers and users,21a12da4f45c628696222a9c442abd7aa73f7286,inventoried; verification tracked in closeout,retain; repair or regenerate when identified by gates,node scripts/check-inbound-links.mjs,repository; external copy only after explicit approval
docs/adr/ADR-000-template.md,active canonical,repository documentation,maintainers and users,21a12da4f45c628696222a9c442abd7aa73f7286,inventoried; verification tracked in closeout,retain; repair or regenerate when identified by gates,node scripts/check-inbound-links.mjs,repository; external copy only after explicit approval
docs/adr/ADR-001-server-side-secrets.md,active canonical,repository documentation,maintainers and users,21a12da4f45c628696222a9c442abd7aa73f7286,inventoried; verification tracked in closeout,retain; repair or regenerate when identified by gates,node scripts/check-inbound-links.mjs,repository; external copy only after explicit approval
docs/adr/ADR-002-provider-registry.md,active canonical,repository documentation,maintainers and users,21a12da4f45c628696222a9c442abd7aa73f7286,inventoried; verification tracked in closeout,retain; repair or regenerate when identified by gates,node scripts/check-inbound-links.mjs,repository; external copy only after explicit approval
docs/adr/ADR-003-unified-telemetry-schema.md,active canonical,repository documentation,maintainers and users,21a12da4f45c628696222a9c442abd7aa73f7286,inventoried; verification tracked in closeout,retain; repair or regenerate when identified by gates,node scripts/check-inbound-links.mjs,repository; external copy only after explicit approval
docs/adr/ADR-004-DUAL-AI-SYSTEM-DESIGN.md,active canonical,repository documentation,maintainers and users,21a12da4f45c628696222a9c442abd7aa73f7286,inventoried; verification tracked in closeout,retain; repair or regenerate when identified by gates,node scripts/check-inbound-links.mjs,repository; external copy only after explicit approval
docs/adr/ADR-005-demo-connector-decorator.md,active canonical,repository documentation,maintainers and users,21a12da4f45c628696222a9c442abd7aa73f7286,inventoried; verification tracked in closeout,retain; repair or regenerate when identified by gates,node scripts/check-inbound-links.mjs,repository; external copy only after explicit approval
docs/adr/ADR-014-canonical-ai-router-family.md,active canonical,repository documentation,maintainers and users,21a12da4f45c628696222a9c442abd7aa73f7286,inventoried; verification tracked in closeout,retain; repair or regenerate when identified by gates,node scripts/check-inbound-links.mjs,repository; external copy only after explicit approval
docs/adr/ADR-015-canonical-connector-registry.md,active canonical,repository documentation,maintainers and users,21a12da4f45c628696222a9c442abd7aa73f7286,inventoried; verification tracked in closeout,retain; repair or regenerate when identified by gates,node scripts/check-inbound-links.mjs,repository; external copy only after explicit approval
docs/adr/ADR-018-embedded-erp-surface-contract.md,active canonical,repository documentation,maintainers and users,21a12da4f45c628696222a9c442abd7aa73f7286,inventoried; verification tracked in closeout,retain; repair or regenerate when identified by gates,node scripts/check-inbound-links.mjs,repository; external copy only after explicit approval
docs/adr/ADR-019-workflow-governance-without-hosted-data.md,active canonical,repository documentation,maintainers and users,21a12da4f45c628696222a9c442abd7aa73f7286,inventoried; verification tracked in closeout,retain; repair or regenerate when identified by gates,node scripts/check-inbound-links.mjs,repository; external copy only after explicit approval
docs/adr/ADR-020-source-of-truth-manifest.md,active canonical,repository documentation,maintainers and users,21a12da4f45c628696222a9c442abd7aa73f7286,inventoried; verification tracked in closeout,retain; repair or regenerate when identified by gates,node scripts/check-inbound-links.mjs,repository; external copy only after explicit approval
docs/adr/ADR-021-governed-flow-template-dsl.md,active canonical,repository documentation,maintainers and users,21a12da4f45c628696222a9c442abd7aa73f7286,inventoried; verification tracked in closeout,retain; repair or regenerate when identified by gates,node scripts/check-inbound-links.mjs,repository; external copy only after explicit approval
docs/adr/ADR-022-cost-transparency-measured-vs-estimated.md,active canonical,repository documentation,maintainers and users,21a12da4f45c628696222a9c442abd7aa73f7286,inventoried; verification tracked in closeout,retain; repair or regenerate when identified by gates,node scripts/check-inbound-links.mjs,repository; external copy only after explicit approval
docs/agent_handover_report.md,active canonical,repository documentation,maintainers and users,21a12da4f45c628696222a9c442abd7aa73f7286,inventoried; verification tracked in closeout,retain; repair or regenerate when identified by gates,node scripts/check-inbound-links.mjs,repository; external copy only after explicit approval
docs/ai-systems/AI_PROVIDER_SYSTEM.md,active canonical,repository documentation,maintainers and users,21a12da4f45c628696222a9c442abd7aa73f7286,inventoried; verification tracked in closeout,retain; repair or regenerate when identified by gates,node scripts/check-inbound-links.mjs,repository; external copy only after explicit approval
docs/ai/A-PLUS-IMPLEMENTATION-GUIDE.md,active canonical,repository documentation,maintainers and users,21a12da4f45c628696222a9c442abd7aa73f7286,inventoried; verification tracked in closeout,retain; repair or regenerate when identified by gates,node scripts/check-inbound-links.mjs,repository; external copy only after explicit approval
docs/ai/A-PLUS-SUMMARY.md,active canonical,repository documentation,maintainers and users,21a12da4f45c628696222a9c442abd7aa73f7286,inventoried; verification tracked in closeout,retain; repair or regenerate when identified by gates,node scripts/check-inbound-links.mjs,repository; external copy only after explicit approval
docs/ai/AI-ACCURACY-IMPROVEMENTS-INDEX.md,active canonical,repository documentation,maintainers and users,21a12da4f45c628696222a9c442abd7aa73f7286,inventoried; verification tracked in closeout,retain; repair or regenerate when identified by gates,node scripts/check-inbound-links.mjs,repository; external copy only after explicit approval
docs/ai/AI-AGENTS-DELIVERABLES-SUMMARY.md,active canonical,repository documentation,maintainers and users,21a12da4f45c628696222a9c442abd7aa73f7286,inventoried; verification tracked in closeout,retain; repair or regenerate when identified by gates,node scripts/check-inbound-links.mjs,repository; external copy only after explicit approval
docs/ai/AI-AGENTS-FINAL-SUMMARY.md,active canonical,repository documentation,maintainers and users,21a12da4f45c628696222a9c442abd7aa73f7286,inventoried; verification tracked in closeout,retain; repair or regenerate when identified by gates,node scripts/check-inbound-links.mjs,repository; external copy only after explicit approval
docs/ai/AI-SERVICE-NAMING-STANDARD.md,active canonical,repository documentation,maintainers and users,21a12da4f45c628696222a9c442abd7aa73f7286,inventoried; verification tracked in closeout,retain; repair or regenerate when identified by gates,node scripts/check-inbound-links.mjs,repository; external copy only after explicit approval
docs/ai/AI_CONFIGURATION_COMPLETE_GUIDE.md,active canonical,repository documentation,maintainers and users,21a12da4f45c628696222a9c442abd7aa73f7286,inventoried; verification tracked in closeout,retain; repair or regenerate when identified by gates,node scripts/check-inbound-links.mjs,repository; external copy only after explicit approval
docs/ai/AI_FIELD_MAPPING_FIX_SUMMARY.md,active canonical,repository documentation,maintainers and users,21a12da4f45c628696222a9c442abd7aa73f7286,inventoried; verification tracked in closeout,retain; repair or regenerate when identified by gates,node scripts/check-inbound-links.mjs,repository; external copy only after explicit approval
docs/ai/AI_IMPLEMENTATION_STATUS_SUMMARY.md,active canonical,repository documentation,maintainers and users,21a12da4f45c628696222a9c442abd7aa73f7286,inventoried; verification tracked in closeout,retain; repair or regenerate when identified by gates,node scripts/check-inbound-links.mjs,repository; external copy only after explicit approval
docs/ai/AI_MAPPING_STUDIO_COMPLETE_REVIEW.md,active canonical,repository documentation,maintainers and users,21a12da4f45c628696222a9c442abd7aa73f7286,inventoried; verification tracked in closeout,retain; repair or regenerate when identified by gates,node scripts/check-inbound-links.mjs,repository; external copy only after explicit approval
docs/ai/CustomFieldProposalService.md,active canonical,repository documentation,maintainers and users,21a12da4f45c628696222a9c442abd7aa73f7286,inventoried; verification tracked in closeout,retain; repair or regenerate when identified by gates,node scripts/check-inbound-links.mjs,repository; external copy only after explicit approval
docs/ai/PHASE-4-ACCURACY-IMPROVEMENTS.md,active canonical,repository documentation,maintainers and users,21a12da4f45c628696222a9c442abd7aa73f7286,inventoried; verification tracked in closeout,retain; repair or regenerate when identified by gates,node scripts/check-inbound-links.mjs,repository; external copy only after explicit approval
docs/ai/README.md,active canonical,repository documentation,maintainers and users,21a12da4f45c628696222a9c442abd7aa73f7286,inventoried; verification tracked in closeout,retain; repair or regenerate when identified by gates,node scripts/check-inbound-links.mjs,repository; external copy only after explicit approval
docs/api/AI-AGENTS-API-REFERENCE.md,active canonical,repository documentation,maintainers and users,21a12da4f45c628696222a9c442abd7aa73f7286,inventoried; verification tracked in closeout,retain; repair or regenerate when identified by gates,node scripts/check-inbound-links.mjs,repository; external copy only after explicit approval
docs/api/API-DOCUMENTATION.md,active canonical,repository documentation,maintainers and users,21a12da4f45c628696222a9c442abd7aa73f7286,inventoried; verification tracked in closeout,retain; repair or regenerate when identified by gates,node scripts/check-inbound-links.mjs,repository; external copy only after explicit approval
docs/api/API.md,active canonical,repository documentation,maintainers and users,21a12da4f45c628696222a9c442abd7aa73f7286,inventoried; verification tracked in closeout,retain; repair or regenerate when identified by gates,node scripts/check-inbound-links.mjs,repository; external copy only after explicit approval
docs/api/ENDPOINT-REGISTRY.md,active canonical,repository documentation,maintainers and users,21a12da4f45c628696222a9c442abd7aa73f7286,inventoried; verification tracked in closeout,retain; repair or regenerate when identified by gates,node scripts/check-inbound-links.mjs,repository; external copy only after explicit approval
docs/api/USAGE.md,active canonical,repository documentation,maintainers and users,21a12da4f45c628696222a9c442abd7aa73f7286,inventoried; verification tracked in closeout,retain; repair or regenerate when identified by gates,node scripts/check-inbound-links.mjs,repository; external copy only after explicit approval
docs/architecture/ADR-001-NETSUITE-MCP-INTEGRATION.md,active canonical,repository documentation,maintainers and users,21a12da4f45c628696222a9c442abd7aa73f7286,inventoried; verification tracked in closeout,retain; repair or regenerate when identified by gates,node scripts/check-inbound-links.mjs,repository; external copy only after explicit approval
docs/architecture/AI-SYSTEMS-COMPARISON.md,active canonical,repository documentation,maintainers and users,21a12da4f45c628696222a9c442abd7aa73f7286,inventoried; verification tracked in closeout,retain; repair or regenerate when identified by gates,node scripts/check-inbound-links.mjs,repository; external copy only after explicit approval
docs/architecture/ARCHITECTURE.md,active canonical,repository documentation,maintainers and users,21a12da4f45c628696222a9c442abd7aa73f7286,inventoried; verification tracked in closeout,retain; repair or regenerate when identified by gates,node scripts/check-inbound-links.mjs,repository; external copy only after explicit approval
docs/architecture/DATA-ARCHITECTURE-MOCK-VS-FIXTURE.md,active canonical,repository documentation,maintainers and users,21a12da4f45c628696222a9c442abd7aa73f7286,inventoried; verification tracked in closeout,retain; repair or regenerate when identified by gates,node scripts/check-inbound-links.mjs,repository; external copy only after explicit approval
docs/architecture/MCP-GATEWAY-ARCHITECTURE.md,active canonical,repository documentation,maintainers and users,21a12da4f45c628696222a9c442abd7aa73f7286,inventoried; verification tracked in closeout,retain; repair or regenerate when identified by gates,node scripts/check-inbound-links.mjs,repository; external copy only after explicit approval
docs/architecture/PRODUCTION-VS-DEMO-GUIDE.md,active canonical,repository documentation,maintainers and users,21a12da4f45c628696222a9c442abd7aa73f7286,inventoried; verification tracked in closeout,retain; repair or regenerate when identified by gates,node scripts/check-inbound-links.mjs,repository; external copy only after explicit approval
docs/architecture/TENANT-SANDBOX-SCOPE.md,active canonical,repository documentation,maintainers and users,21a12da4f45c628696222a9c442abd7aa73f7286,inventoried; verification tracked in closeout,retain; repair or regenerate when identified by gates,node scripts/check-inbound-links.mjs,repository; external copy only after explicit approval
docs/architecture/ai-route-families.md,active canonical,repository documentation,maintainers and users,21a12da4f45c628696222a9c442abd7aa73f7286,inventoried; verification tracked in closeout,retain; repair or regenerate when identified by gates,node scripts/check-inbound-links.mjs,repository; external copy only after explicit approval
docs/architecture/embedded-erp-surface-contract.md,active canonical,repository documentation,maintainers and users,21a12da4f45c628696222a9c442abd7aa73f7286,inventoried; verification tracked in closeout,retain; repair or regenerate when identified by gates,node scripts/check-inbound-links.mjs,repository; external copy only after explicit approval
docs/architecture/source-of-truth-model.md,active canonical,repository documentation,maintainers and users,21a12da4f45c628696222a9c442abd7aa73f7286,inventoried; verification tracked in closeout,retain; repair or regenerate when identified by gates,node scripts/check-inbound-links.mjs,repository; external copy only after explicit approval
docs/archive/BRANCH-PROTECTION.md,historical/archive,repository documentation,historical reference,21a12da4f45c628696222a9c442abd7aa73f7286,preserved historical,preserve dated contents,preserved; inbound-link source exclusion,archive only
docs/archive/CI-VALIDATION.md,historical/archive,repository documentation,historical reference,21a12da4f45c628696222a9c442abd7aa73f7286,preserved historical,preserve dated contents,preserved; inbound-link source exclusion,archive only
docs/archive/CLEANUP-COMPLETED.md,historical/archive,repository documentation,historical reference,21a12da4f45c628696222a9c442abd7aa73f7286,preserved historical,preserve dated contents,preserved; inbound-link source exclusion,archive only
docs/archive/COMPREHENSIVE-ANALYSIS-REPORT-FINAL.md,historical/archive,repository documentation,historical reference,21a12da4f45c628696222a9c442abd7aa73f7286,preserved historical,preserve dated contents,preserved; inbound-link source exclusion,archive only
docs/archive/COMPREHENSIVE-ANALYSIS-REPORT.md,historical/archive,repository documentation,historical reference,21a12da4f45c628696222a9c442abd7aa73f7286,preserved historical,preserve dated contents,preserved; inbound-link source exclusion,archive only
docs/archive/COMPREHENSIVE-FULL-SYSTEM-TEST-REPORT-2025-09-22.md,historical/archive,repository documentation,historical reference,21a12da4f45c628696222a9c442abd7aa73f7286,preserved historical,preserve dated contents,preserved; inbound-link source exclusion,archive only
docs/archive/COMPREHENSIVE-TEST-REPORT-EXPERIMENTAL.md,historical/archive,repository documentation,historical reference,21a12da4f45c628696222a9c442abd7aa73f7286,preserved historical,preserve dated contents,preserved; inbound-link source exclusion,archive only
docs/archive/COMPREHENSIVE-TESTING-REPORT.md,historical/archive,repository documentation,historical reference,21a12da4f45c628696222a9c442abd7aa73f7286,preserved historical,preserve dated contents,preserved; inbound-link source exclusion,archive only
docs/archive/COMPREHENSIVE-TESTING-STRATEGY.md,historical/archive,repository documentation,historical reference,21a12da4f45c628696222a9c442abd7aa73f7286,preserved historical,preserve dated contents,preserved; inbound-link source exclusion,archive only
docs/archive/COMPREHENSIVE_KNOCKOUT_IMPLEMENTATION_PLAN_2025-09-20.txt,historical/archive,repository documentation,historical reference,21a12da4f45c628696222a9c442abd7aa73f7286,preserved historical,preserve dated contents,preserved; inbound-link source exclusion,archive only
docs/archive/COMPREHENSIVE_TEST_REPORT_2025-09-20.md,historical/archive,repository documentation,historical reference,21a12da4f45c628696222a9c442abd7aa73f7286,preserved historical,preserve dated contents,preserved; inbound-link source exclusion,archive only
docs/archive/DEMO.md,historical/archive,repository documentation,historical reference,21a12da4f45c628696222a9c442abd7aa73f7286,preserved historical,preserve dated contents,preserved; inbound-link source exclusion,archive only
docs/archive/DOCUMENTATION-CLEANUP-SUMMARY.md,historical/archive,repository documentation,historical reference,21a12da4f45c628696222a9c442abd7aa73f7286,preserved historical,preserve dated contents,preserved; inbound-link source exclusion,archive only
docs/archive/DOCUMENTATION-RESTRUCTURE-SUMMARY.md,historical/archive,repository documentation,historical reference,21a12da4f45c628696222a9c442abd7aa73f7286,preserved historical,preserve dated contents,preserved; inbound-link source exclusion,archive only
docs/archive/DOCUMENTATION-STATUS.md,historical/archive,repository documentation,historical reference,21a12da4f45c628696222a9c442abd7aa73f7286,preserved historical,preserve dated contents,preserved; inbound-link source exclusion,archive only
