operation,classification,evidence,action
DELETE /api/sync-orchestrator/schemas/{system}/{objecttype},documented elsewhere,docs/CHANGELOG.md; docs/features/GRAND-UNIFIED-STRATEGY-GUIDE.md,retain baseline until represented in openapi.full.yaml
DELETE /api/templates/{key},documented elsewhere,docs/CHANGELOG.md; docs/architecture/ARCHITECTURE.md; docs/plans/2026-05-19-pr-4b-centralize-tenant-middleware-plan.md,retain baseline until represented in openapi.full.yaml
DELETE /api/upload/api/file-upload/{id},documented elsewhere,docs/review/2026-09-12-maintenance-csv.md,retain baseline until represented in openapi.full.yaml
GET /api/actions/health,documented elsewhere,docs/api/API-DOCUMENTATION.md; docs/api/ENDPOINT-REGISTRY.md; docs/superpowers/plans/2026-07-26-f5-demo-facing-families-strict.md,retain baseline until represented in openapi.full.yaml
GET /api/admin/suitecentral/allowed-hosts,documented elsewhere,docs/CHANGELOG.md; docs/api/ENDPOINT-REGISTRY.md; docs/developer/api-reference.md,retain baseline until represented in openapi.full.yaml
GET /api/admin/tenants/{tenantid}/status,documented elsewhere,docs/CHANGELOG.md; docs/api/ENDPOINT-REGISTRY.md; docs/developer/api-reference.md,retain baseline until represented in openapi.full.yaml
GET /api/agents/audit/latest,documented elsewhere,docs/strategic_review_deliverables/SQUIRE_PILOT_READINESS.md; docs/testing/secure-ai-regression-checklist.md; docs/tutorials/ai-agents-comprehensive-guide.md,retain baseline until represented in openapi.full.yaml
GET /api/agents/costs,documented elsewhere,docs/ai/AI-AGENTS-FINAL-SUMMARY.md; docs/api/AI-AGENTS-API-REFERENCE.md; docs/best-practices/AI-FIELD-MAPPING-AGENT.md,retain baseline until represented in openapi.full.yaml
GET /api/agents/costs/session/{sessionid},active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
GET /api/agents/health,documented elsewhere,docs/ai/AI-AGENTS-FINAL-SUMMARY.md; docs/api/AI-AGENTS-API-REFERENCE.md; docs/testing/E2E-FRONTEND-INTEGRATION-TEST-RESULTS.md,retain baseline until represented in openapi.full.yaml
GET /api/agents/list,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
GET /api/ai-config/health,documented elsewhere,docs/ai-systems/AI_PROVIDER_SYSTEM.md; docs/tutorials/comprehensive-ai-configuration-guide.md,retain baseline until represented in openapi.full.yaml
GET /api/ai-config/models/{providertype},documented elsewhere,docs/ai-systems/AI_PROVIDER_SYSTEM.md; docs/tutorials/comprehensive-ai-configuration-guide.md,retain baseline until represented in openapi.full.yaml
GET /api/ai-config/providers,documented elsewhere,docs/ai-systems/AI_PROVIDER_SYSTEM.md; docs/sessions/2025-11-09-ai-provider-integration-tests.md; docs/tutorials/comprehensive-ai-configuration-guide.md,retain baseline until represented in openapi.full.yaml
GET /api/ai-config/tasks,documented elsewhere,docs/ai-systems/AI_PROVIDER_SYSTEM.md; docs/features/README.md; docs/tutorials/ai-provider-configuration-guide.md,retain baseline until represented in openapi.full.yaml
GET /api/ai-config/usage,documented elsewhere,docs/CHANGELOG.md; docs/ai-systems/AI_PROVIDER_SYSTEM.md; docs/tutorials/ai-provider-configuration-guide.md,retain baseline until represented in openapi.full.yaml
GET /api/ai-config/usage/summary,documented elsewhere,docs/CHANGELOG.md,retain baseline until represented in openapi.full.yaml
GET /api/ai-demo/capabilities,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
GET /api/ai-demo/mappings,documented elsewhere,docs/user-guides/getting-started.md,retain baseline until represented in openapi.full.yaml
GET /api/ai/proxy/agents,documented elsewhere,docs/api/API.md; docs/developer/DEVELOPER_GUIDE.md; docs/governance/AI-GOVERNANCE-COMPLETE-GUIDE.md,retain baseline until represented in openapi.full.yaml
GET /api/ai/proxy/agents/costs,documented elsewhere,docs/suiteapp/SUITEAPP-AI-BADGE-PREP.md; docs/testing/secure-ai-regression-checklist.md; docs/tutorials/ai-agents-comprehensive-guide.md,retain baseline until represented in openapi.full.yaml
GET /api/ai/proxy/anomalies,documented elsewhere,docs/guides/SUITECENTRAL-PARITY-GUIDE.md; docs/tutorials/24-ai-nlq-cross-module.md; docs/superpowers/plans/2026-07-30-f6-subproject-b-pr2.md,retain baseline until represented in openapi.full.yaml
GET /api/ai/proxy/business-intelligence/capabilities,documented elsewhere,docs/api/AI-AGENTS-API-REFERENCE.md,retain baseline until represented in openapi.full.yaml
GET /api/ai/proxy/business-intelligence/insights,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
GET /api/ai/proxy/business-intelligence/optimizations,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
GET /api/ai/proxy/business-intelligence/predictive/{integrationid},active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
GET /api/ai/proxy/business-intelligence/roi/{integrationid},active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
GET /api/ai/proxy/business-intelligence/usage-patterns,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
GET /api/ai/proxy/dashboard/overview,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
GET /api/ai/proxy/health,documented elsewhere,docs/guides/SUITECENTRAL-PARITY-GUIDE.md,retain baseline until represented in openapi.full.yaml
GET /api/ai/proxy/mapping/schemas/{systemtype},documented elsewhere,docs/CHANGELOG.md; docs/superpowers/plans/2026-07-21-f2-ai-proxy-postures.md,retain baseline until represented in openapi.full.yaml
GET /api/ai/proxy/mapping/stats,documented elsewhere,docs/superpowers/plans/2026-07-21-f2-ai-proxy-postures.md,retain baseline until represented in openapi.full.yaml
GET /api/ai/proxy/mapping/status,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
GET /api/ai/proxy/mapping/templates,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
GET /api/ai/proxy/mcp/tools,documented elsewhere,docs/CHANGELOG.md; docs/SUITECENTRAL-ENHANCEMENT-RECOMMENDATIONS.md; docs/api/API-DOCUMENTATION.md,retain baseline until represented in openapi.full.yaml
GET /api/ai/proxy/metrics/cross-module,documented elsewhere,docs/guides/SUITECENTRAL-PARITY-GUIDE.md; docs/tutorials/24-ai-nlq-cross-module.md; docs/superpowers/plans/2026-07-30-f6-subproject-b-pr2.md,retain baseline until represented in openapi.full.yaml
GET /api/ai/proxy/models,documented elsewhere,docs/api/API.md; docs/api/USAGE.md; docs/superpowers/plans/2026-07-21-f2-ai-proxy-postures.md,retain baseline until represented in openapi.full.yaml
GET /api/ai/proxy/models/active,documented elsewhere,docs/api/API.md,retain baseline until represented in openapi.full.yaml
GET /api/ai/proxy/models/{provider},documented elsewhere,docs/api/API.md; docs/api/USAGE.md; docs/superpowers/plans/2026-07-21-f2-ai-proxy-postures.md,retain baseline until represented in openapi.full.yaml
GET /api/ai/proxy/models/{provider}/capabilities,documented elsewhere,docs/api/API.md; docs/api/USAGE.md; docs/superpowers/plans/2026-07-21-f2-ai-proxy-postures.md,retain baseline until represented in openapi.full.yaml
GET /api/ai/proxy/module/{module}/metrics,documented elsewhere,docs/guides/SUITECENTRAL-PARITY-GUIDE.md; docs/tutorials/24-ai-nlq-cross-module.md; docs/superpowers/plans/2026-07-30-f6-subproject-b-pr2.md,retain baseline until represented in openapi.full.yaml
GET /api/ai/proxy/natural-language/documentation/{integrationid},documented elsewhere,docs/architecture/AI-SYSTEMS-COMPARISON.md,retain baseline until represented in openapi.full.yaml
GET /api/ai/proxy/natural-language/explain/{configid},documented elsewhere,docs/architecture/AI-SYSTEMS-COMPARISON.md,retain baseline until represented in openapi.full.yaml
GET /api/ai/proxy/nlq/capabilities,documented elsewhere,docs/guides/SUITECENTRAL-PARITY-GUIDE.md; docs/tutorials/24-ai-nlq-cross-module.md,retain baseline until represented in openapi.full.yaml
GET /api/ai/proxy/orchestrate/{sessionid}/status,documented elsewhere,docs/api/API.md; docs/developer/DEVELOPER_GUIDE.md; docs/governance/AI-GOVERNANCE-COMPLETE-GUIDE.md,retain baseline until represented in openapi.full.yaml
GET /api/ai/proxy/orchestrate/{sessionid}/trace,documented elsewhere,docs/api/API.md; docs/developer/DEVELOPER_GUIDE.md; docs/governance/AI-GOVERNANCE-COMPLETE-GUIDE.md,retain baseline until represented in openapi.full.yaml
GET /api/ai/proxy/phase2/health,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
GET /api/ai/proxy/provider-config,documented elsewhere,docs/adr/ADR-014-canonical-ai-router-family.md; docs/superpowers/plans/2026-07-21-f2-ai-proxy-postures.md,retain baseline until represented in openapi.full.yaml
GET /api/ai/proxy/providers,documented elsewhere,docs/architecture/PRODUCTION-VS-DEMO-GUIDE.md; docs/developer/troubleshooting.md; docs/evaluation/AI-SYSTEM-EVALUATION-GUIDE.md,retain baseline until represented in openapi.full.yaml
GET /api/ai/proxy/status,documented elsewhere,docs/tutorials/workflow-integration-guide.md; docs/superpowers/plans/2026-07-21-f2-ai-proxy-postures.md; docs/superpowers/plans/2026-08-01-f6-pr4-stage2-http-extractor-callers.md,retain baseline until represented in openapi.full.yaml
GET /api/ai/proxy/suppliers/risk-scores,documented elsewhere,docs/superpowers/plans/2026-07-30-f6-subproject-b-pr2.md,retain baseline until represented in openapi.full.yaml
GET /api/ai/proxy/suppliers/{id}/risk-history,documented elsewhere,docs/superpowers/plans/2026-07-30-f6-subproject-b-pr2.md,retain baseline until represented in openapi.full.yaml
GET /api/ai/proxy/suppliers/{id}/risk-score,documented elsewhere,docs/superpowers/plans/2026-07-30-f6-subproject-b-pr2.md,retain baseline until represented in openapi.full.yaml
GET /api/ai/proxy/sync/health-prediction,documented elsewhere,docs/superpowers/plans/2026-07-30-f6-subproject-b-pr2.md,retain baseline until represented in openapi.full.yaml
GET /api/ai/proxy/sync/health-prediction/{id},documented elsewhere,docs/superpowers/plans/2026-07-30-f6-subproject-b-pr2.md,retain baseline until represented in openapi.full.yaml
GET /api/ai/proxy/telemetry/statistics,documented elsewhere,docs/api/API.md; docs/superpowers/plans/2026-07-21-f2-ai-proxy-postures.md,retain baseline until represented in openapi.full.yaml
GET /api/ai/proxy/workflow-intelligence/analyze/{integrationid},active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
GET /api/ai/proxy/workflow-intelligence/optimize/{integrationid},active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
GET /api/ai/proxy/workflow-intelligence/predictions/{integrationid},active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
GET /api/automation-libraries/analytics,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
GET /api/automation-libraries/installer/tasks,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
GET /api/automation-libraries/libraries,documented elsewhere,docs/superpowers/plans/2026-07-30-f6-subproject-b-pr2.md; docs/superpowers/plans/2026-07-31-f6-subproject-b-pr3.md; docs/superpowers/specs/2026-07-30-f6-subproject-b-pr2-design.md,retain baseline until represented in openapi.full.yaml
GET /api/automation-libraries/libraries/{libraryid},documented elsewhere,docs/superpowers/plans/2026-07-30-f6-subproject-b-pr2.md; docs/superpowers/plans/2026-07-31-f6-subproject-b-pr3.md; docs/superpowers/specs/2026-07-30-f6-subproject-b-pr2-design.md,retain baseline until represented in openapi.full.yaml
GET /api/automation-libraries/payout/executions,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
GET /api/automation-libraries/quality/results,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
GET /api/baselines/comparison,documented elsewhere,docs/api/ENDPOINT-REGISTRY.md; docs/milestones/gemini-enhancements-complete.md; docs/operations/DOCKER-PARITY.md,retain baseline until represented in openapi.full.yaml
GET /api/baselines/current,documented elsewhere,docs/api/ENDPOINT-REGISTRY.md; docs/milestones/gemini-enhancements-complete.md; docs/operations/DOCKER-PARITY.md,retain baseline until represented in openapi.full.yaml
GET /api/baselines/dashboard,documented elsewhere,docs/api/ENDPOINT-REGISTRY.md; docs/milestones/gemini-enhancements-complete.md; docs/operations/DOCKER-PARITY.md,retain baseline until represented in openapi.full.yaml
GET /api/baselines/gates,documented elsewhere,docs/api/ENDPOINT-REGISTRY.md; docs/milestones/gemini-enhancements-complete.md,retain baseline until represented in openapi.full.yaml
GET /api/compliance/dlp-patterns,documented elsewhere,docs/CHANGELOG.md; docs/guides/SECURITY-AND-RATE-LIMITING.md; docs/plans/dlp-commit-2.md,retain baseline until represented in openapi.full.yaml
GET /api/compliance/soc2-mapping,documented elsewhere,docs/CHANGELOG.md; docs/api/AI-AGENTS-API-REFERENCE.md; docs/api/ENDPOINT-REGISTRY.md,retain baseline until represented in openapi.full.yaml
GET /api/compliance/summary,documented elsewhere,docs/CHANGELOG.md; docs/SUITECENTRAL-ENHANCEMENT-RECOMMENDATIONS.md; docs/api/AI-AGENTS-API-REFERENCE.md,retain baseline until represented in openapi.full.yaml
GET /api/configurations/{id}/export,documented elsewhere,docs/CHANGELOG.md; docs/SESSION-HANDOFF-2026-08-09.md; docs/connectors/CONNECTOR_STATUS.md,retain baseline until represented in openapi.full.yaml
GET /api/configurations/{id}/history,documented elsewhere,docs/CHANGELOG.md; docs/SESSION-HANDOFF-2026-08-09.md; docs/connectors/CONNECTOR_STATUS.md,retain baseline until represented in openapi.full.yaml
GET /api/connector-credentials,documented elsewhere,docs/api/API-DOCUMENTATION.md; docs/architecture/ARCHITECTURE.md; docs/operations/DEPLOYMENT-GUIDE.md,retain baseline until represented in openapi.full.yaml
GET /api/connector-credentials/{connectorid}/{environment},documented elsewhere,docs/api/API-DOCUMENTATION.md; docs/architecture/ARCHITECTURE.md; docs/operations/DEPLOYMENT-GUIDE.md,retain baseline until represented in openapi.full.yaml
GET /api/connector-metadata,documented elsewhere,docs/review/route-tenant-coverage.md; docs/superpowers/plans/2026-07-18-f0-route-policy-schema.md,retain baseline until represented in openapi.full.yaml
GET /api/connector-metadata/{connectorid},documented elsewhere,docs/review/route-tenant-coverage.md; docs/superpowers/plans/2026-07-18-f0-route-policy-schema.md,retain baseline until represented in openapi.full.yaml
GET /api/context/{system}/{recordtype}/{recordid},documented elsewhere,docs/api/API-DOCUMENTATION.md; docs/api/ENDPOINT-REGISTRY.md; docs/guides/SECURITY-AND-RATE-LIMITING.md,retain baseline until represented in openapi.full.yaml
GET /api/contract-central/actions,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
GET /api/contract-central/activity,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
GET /api/contract-central/by-type,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
GET /api/contract-central/contracts,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
GET /api/contract-central/contracts/number/{number},active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
GET /api/contract-central/contracts/{id},active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
GET /api/contract-central/dashboard,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
GET /api/contract-central/expiring,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
GET /api/contract-central/health,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
GET /api/contract-central/metrics,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
GET /api/cost-transparency/anomalies,documented elsewhere,docs/superpowers/plans/2026-05-22-pr-21-cost-transparency-dashboard.md,retain baseline until represented in openapi.full.yaml
GET /api/cost-transparency/dashboard,documented elsewhere,docs/superpowers/plans/2026-05-22-pr-21-cost-transparency-dashboard.md; docs/superpowers/plans/2026-08-01-f6-pr4-stage5-strictmode-flip.md; docs/review/proof-cards/cost-transparency.md,retain baseline until represented in openapi.full.yaml
GET /api/cost-transparency/health,documented elsewhere,docs/review/route-tenant-coverage.md; docs/superpowers/plans/2026-07-18-f0-route-policy-schema.md; docs/superpowers/plans/2026-07-26-f5-demo-facing-families-strict.md,retain baseline until represented in openapi.full.yaml
GET /api/customer-central/at-risk,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
GET /api/customer-central/customers,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
GET /api/customer-central/customers/email/{email},active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
GET /api/customer-central/customers/{id},active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
GET /api/customer-central/customers/{id}/orders,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
GET /api/customer-central/customers/{id}/tickets,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
GET /api/customer-central/dashboard,documented elsewhere,docs/superpowers/plans/2026-07-27-f5b-central-families-strict.md; docs/superpowers/plans/2026-08-01-f6-pr4-stage4-strict-compatible-routing.md,retain baseline until represented in openapi.full.yaml
GET /api/customer-central/health,documented elsewhere,docs/superpowers/plans/2026-07-27-f5b-central-families-strict.md,retain baseline until represented in openapi.full.yaml
GET /api/customer-central/ltv-analysis,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
GET /api/customer-central/orders/{id},active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
GET /api/customer-central/segments,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
GET /api/dashboard,documented elsewhere,docs/architecture/PRODUCTION-VS-DEMO-GUIDE.md; docs/demos/SQUIRE-SUITECENTRAL-DEMO-GUIDE.md; docs/guides/SECURITY-AND-RATE-LIMITING.md,retain baseline until represented in openapi.full.yaml
GET /api/dashboard/api/ai-metrics,documented elsewhere,docs/demos/SQUIRE-SUITECENTRAL-DEMO-GUIDE.md; docs/operations/DOCKER-PARITY.md,retain baseline until represented in openapi.full.yaml
GET /api/dashboard/api/business-metrics,documented elsewhere,docs/demos/SQUIRE-SUITECENTRAL-DEMO-GUIDE.md,retain baseline until represented in openapi.full.yaml
GET /api/dashboard/api/capabilities,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
GET /api/dashboard/api/credentials,documented elsewhere,docs/demos/SQUIRE-SUITECENTRAL-DEMO-GUIDE.md; docs/operations/DOCKER-PARITY.md,retain baseline until represented in openapi.full.yaml
GET /api/dashboard/api/export,documented elsewhere,docs/operations/DOCKER-PARITY.md; docs/testing/DASHBOARD_FEATURES_TO_TEST.md,retain baseline until represented in openapi.full.yaml
GET /api/dashboard/api/metrics-json,documented elsewhere,docs/operations/DOCKER-PARITY.md,retain baseline until represented in openapi.full.yaml
GET /api/dashboard/api/metrics/history/{type},active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
GET /api/dashboard/api/performance-metrics,documented elsewhere,docs/testing/DASHBOARD_FEATURES_TO_TEST.md,retain baseline until represented in openapi.full.yaml
GET /api/dashboard/api/queues,documented elsewhere,docs/demos/SQUIRE-SUITECENTRAL-DEMO-GUIDE.md; docs/operations/DOCKER-PARITY.md; docs/testing/DASHBOARD_FEATURES_TO_TEST.md,retain baseline until represented in openapi.full.yaml
GET /api/dashboard/api/recent-activity,documented elsewhere,docs/demos/SQUIRE-SUITECENTRAL-DEMO-GUIDE.md; docs/operations/DOCKER-PARITY.md,retain baseline until represented in openapi.full.yaml
GET /api/dashboard/api/security-metrics,documented elsewhere,docs/testing/DASHBOARD_FEATURES_TO_TEST.md,retain baseline until represented in openapi.full.yaml
GET /api/dashboard/api/squire/business-metrics,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
GET /api/dashboard/api/squire/dashboard-data,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
GET /api/dashboard/api/squire/executive-summary,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
GET /api/dashboard/api/squire/metrics,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
GET /api/dashboard/api/squire/roi-metrics,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
GET /api/dashboard/api/stream,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
GET /api/dashboard/api/summary,documented elsewhere,docs/demos/SQUIRE-SUITECENTRAL-DEMO-GUIDE.md; docs/operations/DOCKER-PARITY.md,retain baseline until represented in openapi.full.yaml
GET /api/dashboard/api/system-status,documented elsewhere,docs/testing/DASHBOARD_FEATURES_TO_TEST.md,retain baseline until represented in openapi.full.yaml
GET /api/dashboard/api/traces,documented elsewhere,docs/demos/SQUIRE-SUITECENTRAL-DEMO-GUIDE.md; docs/operations/DOCKER-PARITY.md,retain baseline until represented in openapi.full.yaml
GET /api/dashboard/api/websocket-info,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
GET /api/dashboard/mappings/templates,documented elsewhere,docs/plans/2026-05-19-pr-4b-centralize-tenant-middleware-plan.md; docs/review/route-tenant-coverage.md; docs/tutorials/ADMIN-TEMPLATES.md,retain baseline until represented in openapi.full.yaml
GET /api/dashboard/mappings/templates/export/all,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
GET /api/dashboard/mappings/templates/{key},documented elsewhere,docs/plans/2026-05-19-pr-4b-centralize-tenant-middleware-plan.md; docs/review/route-tenant-coverage.md; docs/tutorials/ADMIN-TEMPLATES.md,retain baseline until represented in openapi.full.yaml
GET /api/dashboard/templates,documented elsewhere,docs/plans/2026-05-19-pr-4b-centralize-tenant-middleware-plan.md; docs/review/route-tenant-coverage.md; docs/superpowers/plans/2026-07-18-f0-route-policy-schema.md,retain baseline until represented in openapi.full.yaml
GET /api/dashboard/templates/categories,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
GET /api/dashboard/templates/category/{category},active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
GET /api/dashboard/templates/export/all,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
GET /api/dashboard/templates/library,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
GET /api/dashboard/templates/stats/overview,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
GET /api/dashboard/templates/{key},documented elsewhere,docs/plans/2026-05-19-pr-4b-centralize-tenant-middleware-plan.md; docs/review/route-tenant-coverage.md; docs/superpowers/plans/2026-07-18-f0-route-policy-schema.md,retain baseline until represented in openapi.full.yaml
GET /api/data-migration/plans,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
GET /api/data-migration/plans/{planid},active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
